date,name,code,cnt,cnt_max,premium_rt
2026-04-30,帝欧转债,127047,11,15,-0.37
2026-04-30,瑞丰转债,123126,11,15,-0.23
2026-04-30,盈峰转债,127024,14,15,0.18
2026-04-30,华特转债,118033,7,15,0.74
2026-04-30,星球转债,118041,4,15,1.11
2026-04-30,帝欧转债,127047,11,15,-0.1
2026-04-30,瑞丰转债,123126,11,15,-0.07
2026-04-30,华特转债,118033,7,15,0.08
2026-04-30,盈峰转债,127024,14,15,0.35
2026-04-30,星球转债,118041,4,15,0.86
2026-04-30,翔丰转债,123225,6,15,1.5
2026-04-30,超达转债,123187,14,15,1.51
2026-04-30,帝欧转债,127047,11,15,-0.18
2026-04-30,华特转债,118033,7,15,0.01
2026-04-30,瑞丰转债,123126,11,15,0.06
2026-04-30,盈峰转债,127024,14,15,0.47
2026-04-30,星球转债,118041,4,15,0.96
2026-04-30,翔丰转债,123225,6,15,1.81
2026-04-30,瑞丰转债,123126,11,15,-0.46
2026-04-30,星球转债,118041,4,15,-0.28
2026-04-30,帝欧转债,127047,11,15,-0.07
2026-04-30,盈峰转债,127024,14,15,0.09
2026-04-30,华特转债,118033,7,15,0.8
2026-04-30,翔丰转债,123225,6,15,1.52
2026-04-30,超达转债,123187,14,15,1.85
2026-04-30,盈峰转债,127024,15,15,-1.93
2026-04-30,帝欧转债,127047,12,15,-1.22
2026-04-30,瑞丰转债,123126,12,15,-0.43
2026-04-30,星球转债,118041,5,15,-0.15
2026-04-30,华特转债,118033,8,15,0.74
2026-04-30,翔丰转债,123225,7,15,1.49
2026-04-30,超达转债,123187,15,15,1.9
2026-04-30,盈峰转债,127024,15,15,-1.93
2026-04-30,帝欧转债,127047,12,15,-1.22
2026-04-30,瑞丰转债,123126,12,15,-0.43
2026-04-30,星球转债,118041,5,15,-0.15
2026-04-30,华特转债,118033,8,15,0.74
2026-04-30,翔丰转债,123225,7,15,1.49
2026-04-30,超达转债,123187,15,15,1.9
2026-05-01,盈峰转债,127024,15,15,-1.93
2026-05-01,帝欧转债,127047,12,15,-1.22
2026-05-01,瑞丰转债,123126,12,15,-0.43
2026-05-01,星球转债,118041,5,15,-0.15
2026-05-01,华特转债,118033,8,15,0.74
2026-05-01,翔丰转债,123225,7,15,1.49
2026-05-01,超达转债,123187,15,15,1.9
2026-05-01,盈峰转债,127024,15,15,-1.93
2026-05-01,帝欧转债,127047,12,15,-1.22
2026-05-01,瑞丰转债,123126,12,15,-0.43
2026-05-01,星球转债,118041,5,15,-0.15
2026-05-01,华特转债,118033,8,15,0.74
2026-05-01,翔丰转债,123225,7,15,1.49
2026-05-01,超达转债,123187,15,15,1.9
2026-05-01,盈峰转债,127024,15,15,-1.93
2026-05-01,帝欧转债,127047,12,15,-1.22
2026-05-01,瑞丰转债,123126,12,15,-0.43
2026-05-01,星球转债,118041,5,15,-0.15
2026-05-01,华特转债,118033,8,15,0.74
2026-05-01,翔丰转债,123225,7,15,1.49
2026-05-01,超达转债,123187,15,15,1.9
2026-05-01,盈峰转债,127024,15,15,-1.93
2026-05-01,帝欧转债,127047,12,15,-1.22
2026-05-01,瑞丰转债,123126,12,15,-0.43
2026-05-01,星球转债,118041,5,15,-0.15
2026-05-01,华特转债,118033,8,15,0.74
2026-05-01,翔丰转债,123225,7,15,1.49
2026-05-01,超达转债,123187,15,15,1.9
2026-05-01,盈峰转债,127024,15,15,-1.93
2026-05-01,帝欧转债,127047,12,15,-1.22
2026-05-01,瑞丰转债,123126,12,15,-0.43
2026-05-01,星球转债,118041,5,15,-0.15
2026-05-01,华特转债,118033,8,15,0.74
2026-05-01,翔丰转债,123225,7,15,1.49
2026-05-01,超达转债,123187,15,15,1.9
2026-05-01,盈峰转债,127024,15,15,-1.93
2026-05-01,帝欧转债,127047,12,15,-1.22
2026-05-01,瑞丰转债,123126,12,15,-0.43
2026-05-01,星球转债,118041,5,15,-0.15
2026-05-01,华特转债,118033,8,15,0.74
2026-05-01,翔丰转债,123225,7,15,1.49
2026-05-01,超达转债,123187,15,15,1.9
2026-05-01,盈峰转债,127024,15,15,-1.93
2026-05-01,帝欧转债,127047,12,15,-1.22
2026-05-01,瑞丰转债,123126,12,15,-0.43
2026-05-01,星球转债,118041,5,15,-0.15
2026-05-01,华特转债,118033,8,15,0.74
2026-05-01,翔丰转债,123225,7,15,1.49
2026-05-01,超达转债,123187,15,15,1.9
2026-05-01,盈峰转债,127024,15,15,-1.93
2026-05-01,帝欧转债,127047,12,15,-1.22
2026-05-01,瑞丰转债,123126,12,15,-0.43
2026-05-01,星球转债,118041,5,15,-0.15
2026-05-01,华特转债,118033,8,15,0.74
2026-05-01,翔丰转债,123225,7,15,1.49
2026-05-01,超达转债,123187,15,15,1.9
2026-05-01,盈峰转债,127024,15,15,-1.93
2026-05-01,帝欧转债,127047,12,15,-1.22
2026-05-01,瑞丰转债,123126,12,15,-0.43
2026-05-01,星球转债,118041,5,15,-0.15
2026-05-01,华特转债,118033,8,15,0.74
2026-05-01,翔丰转债,123225,7,15,1.49
2026-05-01,超达转债,123187,15,15,1.9
2026-05-01,盈峰转债,127024,15,15,-1.93
2026-05-01,帝欧转债,127047,12,15,-1.22
2026-05-01,瑞丰转债,123126,12,15,-0.43
2026-05-01,星球转债,118041,5,15,-0.15
2026-05-01,华特转债,118033,8,15,0.74
2026-05-01,翔丰转债,123225,7,15,1.49
2026-05-01,超达转债,123187,15,15,1.9
2026-05-01,盈峰转债,127024,15,15,-1.93
2026-05-01,帝欧转债,127047,12,15,-1.22
2026-05-01,瑞丰转债,123126,12,15,-0.43
2026-05-01,星球转债,118041,5,15,-0.15
2026-05-01,华特转债,118033,8,15,0.74
2026-05-01,翔丰转债,123225,7,15,1.49
2026-05-01,超达转债,123187,15,15,1.9
2026-05-01,盈峰转债,127024,15,15,-1.93
2026-05-01,帝欧转债,127047,12,15,-1.22
2026-05-01,瑞丰转债,123126,12,15,-0.43
2026-05-01,星球转债,118041,5,15,-0.15
2026-05-01,华特转债,118033,8,15,0.74
2026-05-01,翔丰转债,123225,7,15,1.49
2026-05-01,超达转债,123187,15,15,1.9
2026-05-01,盈峰转债,127024,15,15,-1.93
2026-05-01,帝欧转债,127047,12,15,-1.22
2026-05-01,瑞丰转债,123126,12,15,-0.43
2026-05-01,星球转债,118041,5,15,-0.15
2026-05-01,华特转债,118033,8,15,0.74
2026-05-01,翔丰转债,123225,7,15,1.49
2026-05-01,超达转债,123187,15,15,1.9
2026-05-01,盈峰转债,127024,15,15,-1.93
2026-05-01,帝欧转债,127047,12,15,-1.22
2026-05-01,瑞丰转债,123126,12,15,-0.43
2026-05-01,星球转债,118041,5,15,-0.15
2026-05-01,华特转债,118033,8,15,0.74
2026-05-01,翔丰转债,123225,7,15,1.49
2026-05-01,超达转债,123187,15,15,1.9
2026-05-01,盈峰转债,127024,15,15,-1.93
2026-05-01,帝欧转债,127047,12,15,-1.22
2026-05-01,瑞丰转债,123126,12,15,-0.43
2026-05-01,星球转债,118041,5,15,-0.15
2026-05-01,华特转债,118033,8,15,0.74
2026-05-01,翔丰转债,123225,7,15,1.49
2026-05-01,超达转债,123187,15,15,1.9
2026-05-04,盈峰转债,127024,15,15,-1.93
2026-05-04,帝欧转债,127047,12,15,-1.22
2026-05-04,瑞丰转债,123126,12,15,-0.43
2026-05-04,星球转债,118041,5,15,-0.15
2026-05-04,华特转债,118033,8,15,0.74
2026-05-04,翔丰转债,123225,7,15,1.49
2026-05-04,盈峰转债,127024,15,15,-1.93
2026-05-04,帝欧转债,127047,12,15,-1.22
2026-05-04,瑞丰转债,123126,12,15,-0.43
2026-05-04,星球转债,118041,5,15,-0.15
2026-05-04,华特转债,118033,8,15,0.74
2026-05-04,翔丰转债,123225,7,15,1.49
2026-05-04,盈峰转债,127024,15,15,-1.93
2026-05-04,帝欧转债,127047,12,15,-1.22
2026-05-04,瑞丰转债,123126,12,15,-0.43
2026-05-04,星球转债,118041,5,15,-0.15
2026-05-04,华特转债,118033,8,15,0.74
2026-05-04,翔丰转债,123225,7,15,1.49
2026-05-04,盈峰转债,127024,15,15,-1.93
2026-05-04,帝欧转债,127047,12,15,-1.22
2026-05-04,瑞丰转债,123126,12,15,-0.43
2026-05-04,星球转债,118041,5,15,-0.15
2026-05-04,华特转债,118033,8,15,0.74
2026-05-04,翔丰转债,123225,7,15,1.49
2026-05-04,盈峰转债,127024,15,15,-1.93
2026-05-04,帝欧转债,127047,12,15,-1.22
2026-05-04,瑞丰转债,123126,12,15,-0.43
2026-05-04,星球转债,118041,5,15,-0.15
2026-05-04,华特转债,118033,8,15,0.74
2026-05-04,翔丰转债,123225,7,15,1.49
2026-05-04,盈峰转债,127024,15,15,-1.93
2026-05-04,帝欧转债,127047,12,15,-1.22
2026-05-04,瑞丰转债,123126,12,15,-0.43
2026-05-04,星球转债,118041,5,15,-0.15
2026-05-04,华特转债,118033,8,15,0.74
2026-05-04,翔丰转债,123225,7,15,1.49
2026-05-04,盈峰转债,127024,15,15,-1.93
2026-05-04,帝欧转债,127047,12,15,-1.22
2026-05-04,瑞丰转债,123126,12,15,-0.43
2026-05-04,星球转债,118041,5,15,-0.15
2026-05-04,华特转债,118033,8,15,0.74
2026-05-04,翔丰转债,123225,7,15,1.49
2026-05-04,盈峰转债,127024,15,15,-1.93
2026-05-04,帝欧转债,127047,12,15,-1.22
2026-05-04,瑞丰转债,123126,12,15,-0.43
2026-05-04,星球转债,118041,5,15,-0.15
2026-05-04,华特转债,118033,8,15,0.74
2026-05-04,翔丰转债,123225,7,15,1.49
2026-05-04,盈峰转债,127024,15,15,-1.93
2026-05-04,帝欧转债,127047,12,15,-1.22
2026-05-04,瑞丰转债,123126,12,15,-0.43
2026-05-04,星球转债,118041,5,15,-0.15
2026-05-04,华特转债,118033,8,15,0.74
2026-05-04,翔丰转债,123225,7,15,1.49
2026-05-04,盈峰转债,127024,15,15,-1.93
2026-05-04,帝欧转债,127047,12,15,-1.22
2026-05-04,瑞丰转债,123126,12,15,-0.43
2026-05-04,星球转债,118041,5,15,-0.15
2026-05-04,华特转债,118033,8,15,0.74
2026-05-04,翔丰转债,123225,7,15,1.49
2026-05-04,盈峰转债,127024,15,15,-1.93
2026-05-04,帝欧转债,127047,12,15,-1.22
2026-05-04,瑞丰转债,123126,12,15,-0.43
2026-05-04,星球转债,118041,5,15,-0.15
2026-05-04,华特转债,118033,8,15,0.74
2026-05-04,翔丰转债,123225,7,15,1.49
2026-05-04,盈峰转债,127024,15,15,-1.93
2026-05-04,帝欧转债,127047,12,15,-1.22
2026-05-04,瑞丰转债,123126,12,15,-0.43
2026-05-04,星球转债,118041,5,15,-0.15
2026-05-04,华特转债,118033,8,15,0.74
2026-05-04,翔丰转债,123225,7,15,1.49
2026-05-04,盈峰转债,127024,15,15,-1.93
2026-05-04,帝欧转债,127047,12,15,-1.22
2026-05-04,瑞丰转债,123126,12,15,-0.43
2026-05-04,星球转债,118041,5,15,-0.15
2026-05-04,华特转债,118033,8,15,0.74
2026-05-04,翔丰转债,123225,7,15,1.49
2026-05-04,盈峰转债,127024,15,15,-1.93
2026-05-04,帝欧转债,127047,12,15,-1.22
2026-05-04,瑞丰转债,123126,12,15,-0.43
2026-05-04,星球转债,118041,5,15,-0.15
2026-05-04,华特转债,118033,8,15,0.74
2026-05-04,翔丰转债,123225,7,15,1.49
2026-05-04,盈峰转债,127024,15,15,-1.93
2026-05-04,帝欧转债,127047,12,15,-1.22
2026-05-04,瑞丰转债,123126,12,15,-0.43
2026-05-04,星球转债,118041,5,15,-0.15
2026-05-04,华特转债,118033,8,15,0.74
2026-05-04,翔丰转债,123225,7,15,1.49
2026-05-05,盈峰转债,127024,15,15,-1.93
2026-05-05,帝欧转债,127047,12,15,-1.22
2026-05-05,瑞丰转债,123126,12,15,-0.43
2026-05-05,星球转债,118041,5,15,-0.15
2026-05-05,华特转债,118033,8,15,0.74
2026-05-05,翔丰转债,123225,7,15,1.49
2026-05-05,盈峰转债,127024,15,15,-1.93
2026-05-05,帝欧转债,127047,12,15,-1.22
2026-05-05,瑞丰转债,123126,12,15,-0.43
2026-05-05,星球转债,118041,5,15,-0.15
2026-05-05,华特转债,118033,8,15,0.74
2026-05-05,翔丰转债,123225,7,15,1.49
2026-05-05,盈峰转债,127024,15,15,-1.93
2026-05-05,帝欧转债,127047,12,15,-1.22
2026-05-05,瑞丰转债,123126,12,15,-0.43
2026-05-05,星球转债,118041,5,15,-0.15
2026-05-05,华特转债,118033,8,15,0.74
2026-05-05,翔丰转债,123225,7,15,1.49
2026-05-05,盈峰转债,127024,15,15,-1.93
2026-05-05,帝欧转债,127047,12,15,-1.22
2026-05-05,瑞丰转债,123126,12,15,-0.43
2026-05-05,星球转债,118041,5,15,-0.15
2026-05-05,华特转债,118033,8,15,0.74
2026-05-05,翔丰转债,123225,7,15,1.49
2026-05-05,盈峰转债,127024,15,15,-1.93
2026-05-05,帝欧转债,127047,12,15,-1.22
2026-05-05,瑞丰转债,123126,12,15,-0.43
2026-05-05,星球转债,118041,5,15,-0.15
2026-05-05,华特转债,118033,8,15,0.74
2026-05-05,翔丰转债,123225,7,15,1.49
