date,push_time,log_file,name,code,cnt,cnt_max,premium_rt
2026-04-25,,cb_noredeem_20260425_2200.log,华特转债,118033,4,15,-0.33
2026-04-25,,cb_noredeem_20260425_2200.log,博瑞转债,118004,14,15,1.93
2026-04-25,,cb_noredeem_20260425_2200.log,翔丰转债,123225,3,15,1.95
2026-04-26,,cb_noredeem_20260426_0100.log,盈峰转债,127024,11,15,-1.09
2026-04-26,,cb_noredeem_20260426_0100.log,超达转债,123187,11,15,-0.42
2026-04-26,,cb_noredeem_20260426_0100.log,华特转债,118033,4,15,-0.33
2026-04-26,,cb_noredeem_20260426_0100.log,博瑞转债,118004,14,15,1.93
2026-04-26,,cb_noredeem_20260426_0100.log,翔丰转债,123225,3,15,1.95
2026-04-26,,cb_noredeem_20260426_0800.log,盈峰转债,127024,11,15,-1.09
2026-04-26,,cb_noredeem_20260426_0800.log,超达转债,123187,11,15,-0.42
2026-04-26,,cb_noredeem_20260426_0800.log,华特转债,118033,4,15,-0.33
2026-04-26,,cb_noredeem_20260426_0800.log,博瑞转债,118004,14,15,1.93
2026-04-26,,cb_noredeem_20260426_0800.log,翔丰转债,123225,3,15,1.95
2026-04-26,,cb_noredeem_20260426_1030.log,盈峰转债,127024,11,15,-1.09
2026-04-26,,cb_noredeem_20260426_1030.log,超达转债,123187,11,15,-0.42
2026-04-26,,cb_noredeem_20260426_1030.log,华特转债,118033,4,15,-0.33
2026-04-26,,cb_noredeem_20260426_1030.log,博瑞转债,118004,14,15,1.93
2026-04-26,,cb_noredeem_20260426_1030.log,翔丰转债,123225,3,15,1.95
2026-04-26,,cb_noredeem_20260426_1200.log,盈峰转债,127024,11,15,-1.09
2026-04-26,,cb_noredeem_20260426_1200.log,超达转债,123187,11,15,-0.42
2026-04-26,,cb_noredeem_20260426_1200.log,华特转债,118033,4,15,-0.33
2026-04-26,,cb_noredeem_20260426_1200.log,博瑞转债,118004,14,15,1.93
2026-04-26,,cb_noredeem_20260426_1200.log,翔丰转债,123225,3,15,1.95
2026-04-26,,cb_noredeem_20260426_1400.log,盈峰转债,127024,11,15,-1.09
2026-04-26,,cb_noredeem_20260426_1400.log,超达转债,123187,11,15,-0.42
2026-04-26,,cb_noredeem_20260426_1400.log,华特转债,118033,4,15,-0.33
2026-04-26,,cb_noredeem_20260426_1400.log,博瑞转债,118004,14,15,1.93
2026-04-26,,cb_noredeem_20260426_1400.log,翔丰转债,123225,3,15,1.95
2026-04-26,,cb_noredeem_20260426_1600.log,盈峰转债,127024,11,15,-1.09
2026-04-26,,cb_noredeem_20260426_1600.log,超达转债,123187,11,15,-0.42
2026-04-26,,cb_noredeem_20260426_1600.log,华特转债,118033,4,15,-0.33
2026-04-26,,cb_noredeem_20260426_1600.log,博瑞转债,118004,14,15,1.93
2026-04-26,,cb_noredeem_20260426_1600.log,翔丰转债,123225,3,15,1.95
2026-04-26,,cb_noredeem_20260426_2200.log,盈峰转债,127024,11,15,-1.09
2026-04-26,,cb_noredeem_20260426_2200.log,超达转债,123187,11,15,-0.42
2026-04-26,,cb_noredeem_20260426_2200.log,华特转债,118033,4,15,-0.33
2026-04-26,,cb_noredeem_20260426_2200.log,博瑞转债,118004,14,15,1.93
2026-04-26,,cb_noredeem_20260426_2200.log,翔丰转债,123225,3,15,1.95
2026-04-27,,cb_noredeem_20260427_0100.log,盈峰转债,127024,11,15,-1.09
2026-04-27,,cb_noredeem_20260427_0100.log,超达转债,123187,11,15,-0.42
2026-04-27,,cb_noredeem_20260427_0100.log,华特转债,118033,4,15,-0.33
2026-04-27,,cb_noredeem_20260427_0100.log,博瑞转债,118004,14,15,1.93
2026-04-27,,cb_noredeem_20260427_0100.log,翔丰转债,123225,3,15,1.95
2026-04-27,,cb_noredeem_20260427_0800.log,盈峰转债,127024,11,15,-1.09
2026-04-27,,cb_noredeem_20260427_0800.log,超达转债,123187,11,15,-0.42
2026-04-27,,cb_noredeem_20260427_0800.log,华特转债,118033,4,15,-0.33
2026-04-27,,cb_noredeem_20260427_0800.log,博瑞转债,118004,14,15,1.93
2026-04-27,,cb_noredeem_20260427_0800.log,翔丰转债,123225,3,15,1.95
2026-04-27,,cb_noredeem_20260427_1030.log,盈峰转债,127024,11,15,-0.14
2026-04-27,,cb_noredeem_20260427_1030.log,超达转债,123187,11,15,0.0
2026-04-27,,cb_noredeem_20260427_1030.log,华特转债,118033,4,15,1.25
2026-04-27,,cb_noredeem_20260427_1030.log,瑞丰转债,123126,11,15,1.28
2026-04-27,,cb_noredeem_20260427_1200.log,超达转债,123187,11,15,-0.07
2026-04-27,,cb_noredeem_20260427_1200.log,盈峰转债,127024,11,15,0.43
2026-04-27,,cb_noredeem_20260427_1200.log,华特转债,118033,4,15,1.74
2026-04-27,,cb_noredeem_20260427_1400.log,超达转债,123187,11,15,-0.21
2026-04-27,,cb_noredeem_20260427_1400.log,盈峰转债,127024,11,15,0.15
2026-04-27,,cb_noredeem_20260427_1400.log,华特转债,118033,4,15,0.3
2026-04-27,,cb_noredeem_20260427_1600.log,华特转债,118033,5,15,-0.4
2026-04-27,,cb_noredeem_20260427_1600.log,盈峰转债,127024,12,15,0.38
2026-04-27,,cb_noredeem_20260427_1600.log,超达转债,123187,12,15,0.6
2026-04-27,,cb_noredeem_20260427_2200.log,华特转债,118033,5,15,-0.4
2026-04-27,,cb_noredeem_20260427_2200.log,盈峰转债,127024,12,15,0.38
2026-04-27,,cb_noredeem_20260427_2200.log,超达转债,123187,12,15,0.6
2026-04-28,,cb_noredeem_20260428_0100.log,华特转债,118033,5,15,-0.4
2026-04-28,,cb_noredeem_20260428_0100.log,盈峰转债,127024,12,15,0.38
2026-04-28,,cb_noredeem_20260428_0100.log,超达转债,123187,12,15,0.6
2026-04-28,,cb_noredeem_20260428_0800.log,华特转债,118033,5,15,-0.4
2026-04-28,,cb_noredeem_20260428_0800.log,盈峰转债,127024,12,15,0.38
2026-04-28,,cb_noredeem_20260428_0800.log,超达转债,123187,12,15,0.6
2026-04-28,,cb_noredeem_20260428_1030.log,超达转债,123187,12,15,-0.05
2026-04-28,,cb_noredeem_20260428_1030.log,华特转债,118033,5,15,-0.04
2026-04-28,,cb_noredeem_20260428_1030.log,盈峰转债,127024,12,15,0.4
2026-04-28,,cb_noredeem_20260428_1030.log,瑞丰转债,123126,11,15,1.77
